epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1242.36,0.56841,0.80683,1.1806,0.51092,0.58333,0.54103,0.48001,1.25602,1.78326,1.8762,0.000990365,0.000990365,0.000990365
43,1271.92,0.5639,0.80287,1.18295,0.87092,0.35,0.41829,0.29808,1.74919,2.39362,2.31295,0.000973861,0.000973861,0.000973861
44,1297.41,0.5713,0.79544,1.18939,0.66627,0.60543,0.61938,0.47775,1.26895,1.88523,1.85022,0.000957358,0.000957358,0.000957358
45,1327.82,0.55496,0.77117,1.16066,0.53652,0.625,0.56075,0.50013,1.12231,1.52861,1.664,0.000940855,0.000940855,0.000940855
46,1354.84,0.53671,0.77129,1.16862,0.76758,0.738,0.79174,0.62075,0.97912,1.22153,1.50314,0.000924352,0.000924352,0.000924352
47,1384.43,0.50219,0.72103,1.15027,0.74762,0.625,0.59154,0.51661,1.14238,1.5253,1.62228,0.000907848,0.000907848,0.000907848
48,1410.56,0.52454,0.74094,1.13979,0.59856,0.70833,0.68501,0.49875,1.22841,1.39794,1.73901,0.000891345,0.000891345,0.000891345
49,1439.04,0.5018,0.71066,1.13304,0.4864,0.66667,0.60087,0.47531,1.22759,1.7683,1.78235,0.000874842,0.000874842,0.000874842
50,1464.65,0.48382,0.68153,1.11858,0.36746,0.625,0.542,0.47342,1.06638,1.58917,1.58242,0.000858338,0.000858338,0.000858338
51,1495.86,0.52399,0.70708,1.14556,0.4745,0.625,0.5689,0.47276,1.05279,1.6158,1.59526,0.000841835,0.000841835,0.000841835
52,1526.56,0.48795,0.66191,1.11154,0.55083,0.625,0.56079,0.45193,1.09001,1.72757,1.68002,0.000825332,0.000825332,0.000825332
53,1554.48,0.50264,0.66386,1.11922,0.6407,0.58333,0.55503,0.49211,1.20194,1.48454,1.78483,0.000808828,0.000808828,0.000808828
54,1582.97,0.45398,0.63322,1.10239,0.51993,0.60069,0.56837,0.48485,1.19772,1.40942,1.69461,0.000792325,0.000792325,0.000792325
55,1611.52,0.46898,0.61998,1.1078,0.55714,0.49167,0.53649,0.48879,1.04252,1.8294,1.54968,0.000775822,0.000775822,0.000775822
56,1639.59,0.49426,0.64461,1.11139,0.54207,0.58333,0.57158,0.52375,1.03933,1.36224,1.54662,0.000759318,0.000759318,0.000759318
57,1668.77,0.45418,0.61732,1.09033,0.60814,0.66667,0.62616,0.543,1.08037,1.45927,1.7178,0.000742815,0.000742815,0.000742815
58,1695.66,0.46179,0.63896,1.08885,0.60778,0.54167,0.53972,0.51102,1.04626,1.47044,1.667,0.000726312,0.000726312,0.000726312
59,1723.38,0.43729,0.5936,1.08797,0.49168,0.54167,0.55317,0.51593,0.8858,1.75539,1.4708,0.000709809,0.000709809,0.000709809
60,1752.88,0.43174,0.57876,1.07324,0.77132,0.6142,0.67512,0.55371,1.00901,1.28919,1.56555,0.000693305,0.000693305,0.000693305
61,1781.09,0.43724,0.56455,1.07129,0.70482,0.575,0.64067,0.5406,1.11166,1.45375,1.66457,0.000676802,0.000676802,0.000676802
62,1808.69,0.46874,0.5899,1.08687,0.7417,0.58333,0.59345,0.49861,1.11442,1.71252,1.74201,0.000660299,0.000660299,0.000660299
63,1841.1,0.43476,0.5553,1.06883,0.617,0.60391,0.55827,0.47756,1.16473,1.52068,1.72334,0.000643795,0.000643795,0.000643795
64,1869.1,0.42484,0.57353,1.06265,0.6301,0.53444,0.57908,0.51632,1.16758,1.52511,1.67952,0.000627292,0.000627292,0.000627292
65,1898.64,0.43277,0.55868,1.05765,0.66128,0.575,0.56498,0.44726,1.3145,1.62815,1.89507,0.000610789,0.000610789,0.000610789
66,1925.83,0.43202,0.55492,1.06588,0.92728,0.575,0.66453,0.46309,1.36939,1.28899,1.87418,0.000594286,0.000594286,0.000594286
67,1955.07,0.41047,0.55235,1.05185,0.51664,0.65627,0.56616,0.50726,1.07546,1.71669,1.64132,0.000577782,0.000577782,0.000577782
68,1981.01,0.41398,0.53975,1.04483,0.69428,0.58333,0.60951,0.52517,0.94068,1.7167,1.54906,0.000561279,0.000561279,0.000561279
69,2007.82,0.38008,0.50561,1.03273,0.76999,0.58333,0.58644,0.5167,0.91282,1.61779,1.42363,0.000544776,0.000544776,0.000544776
70,2036.41,0.38928,0.50684,1.02797,0.78574,0.575,0.64739,0.48796,1.16116,1.47179,1.72793,0.000528272,0.000528272,0.000528272
71,2063.23,0.407,0.51953,1.04125,0.57619,0.61959,0.5785,0.52336,1.02201,1.46852,1.53242,0.000511769,0.000511769,0.000511769
72,2091.58,0.38213,0.50293,1.0379,0.62985,0.625,0.60909,0.47795,1.19206,1.72588,1.76353,0.000495266,0.000495266,0.000495266
73,2118.88,0.37606,0.47068,1.02783,0.76534,0.625,0.65999,0.57893,0.95216,1.39946,1.50347,0.000478762,0.000478762,0.000478762
74,2149.87,0.39555,0.497,1.03713,0.64119,0.625,0.57984,0.486,1.26259,1.61276,1.76273,0.000462259,0.000462259,0.000462259
75,2177.59,0.40533,0.49706,1.03261,0.48233,0.54167,0.50599,0.4551,1.2391,2.13007,1.74305,0.000445756,0.000445756,0.000445756
76,2204.93,0.37153,0.46981,1.02181,0.57232,0.58333,0.55693,0.46943,1.07706,1.63394,1.64835,0.000429253,0.000429253,0.000429253
77,2232.85,0.37761,0.46431,1.02033,0.54251,0.575,0.53345,0.45729,1.25577,1.94067,1.76284,0.000412749,0.000412749,0.000412749
78,2258.94,0.37817,0.45847,1.03305,0.63099,0.625,0.59165,0.4891,0.99989,1.56456,1.58552,0.000396246,0.000396246,0.000396246
79,2285.31,0.37229,0.47235,1.00919,0.52163,0.65833,0.60797,0.47448,1.09744,1.63908,1.61026,0.000379743,0.000379743,0.000379743
80,2310.77,0.35509,0.45146,1.00818,0.68362,0.70628,0.66595,0.5368,1.0509,1.5898,1.5304,0.000363239,0.000363239,0.000363239
81,2339.88,0.34345,0.4574,1.0002,0.58736,0.66555,0.60141,0.48655,1.12147,1.7239,1.59878,0.000346736,0.000346736,0.000346736
82,2367.07,0.34997,0.43957,1.00036,0.48987,0.58333,0.53698,0.50986,0.90644,1.74532,1.41475,0.000330233,0.000330233,0.000330233
83,2394.31,0.3493,0.41547,1.00265,0.7142,0.61133,0.61057,0.51971,1.0208,1.62735,1.6015,0.000313729,0.000313729,0.000313729
84,2422.4,0.36745,0.4568,1.01205,0.56741,0.65516,0.62966,0.51014,1.05555,1.56999,1.66137,0.000297226,0.000297226,0.000297226
85,2451.13,0.32127,0.39978,0.99679,0.80526,0.56731,0.61455,0.51288,0.82833,1.69808,1.41424,0.000280723,0.000280723,0.000280723
86,2476.96,0.32893,0.40184,0.99273,0.64755,0.6141,0.61049,0.51368,1.00764,1.51696,1.56223,0.00026422,0.00026422,0.00026422
