epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1375.89,1.02527,1.06835,1.28715,0.46898,0.5084,0.49174,0.34398,1.3527,1.52815,1.54876,0.000228729,0.000228729,0.000228729
43,1409.37,1.01081,1.0365,1.26756,0.56671,0.48274,0.4694,0.32836,1.39045,1.54069,1.58027,0.000224917,0.000224917,0.000224917
44,1443.02,0.99322,1.03003,1.26682,0.6204,0.48762,0.50067,0.34871,1.36794,1.49124,1.57591,0.000221106,0.000221106,0.000221106
45,1476.65,1.00087,1.02588,1.26779,0.63404,0.45611,0.49396,0.33547,1.341,1.52708,1.53972,0.000217294,0.000217294,0.000217294
46,1510.07,0.98518,1.01341,1.2591,0.69408,0.44799,0.48685,0.34101,1.3455,1.52102,1.5166,0.000213482,0.000213482,0.000213482
47,1543.67,1.00042,1.01154,1.26346,0.54102,0.52639,0.51015,0.35543,1.35788,1.45225,1.54487,0.000209671,0.000209671,0.000209671
48,1575.76,0.98214,0.99798,1.26022,0.59251,0.49178,0.51458,0.35356,1.36675,1.49055,1.57086,0.00020586,0.00020586,0.00020586
49,1606.95,0.97754,1.0024,1.26177,0.67437,0.47787,0.51646,0.36,1.34795,1.42735,1.54377,0.000202048,0.000202048,0.000202048
50,1638.2,0.97221,0.98068,1.2493,0.59151,0.48582,0.49601,0.34511,1.34519,1.47033,1.54507,0.000198236,0.000198236,0.000198236
51,1669.35,0.96639,0.9686,1.24545,0.62375,0.52092,0.49645,0.34705,1.3647,1.46174,1.54748,0.000194425,0.000194425,0.000194425
52,1700.88,0.9625,0.96313,1.24961,0.52751,0.49376,0.49002,0.34576,1.34851,1.47492,1.52607,0.000190613,0.000190613,0.000190613
53,1733.19,0.95466,0.94744,1.23984,0.59463,0.49454,0.48571,0.34495,1.34566,1.44297,1.53159,0.000186802,0.000186802,0.000186802
54,1767.12,0.94737,0.93852,1.22446,0.58529,0.48804,0.49243,0.35779,1.32927,1.52185,1.52731,0.00018299,0.00018299,0.00018299
55,1800.53,0.94531,0.95379,1.23187,0.67148,0.45847,0.49847,0.33722,1.36521,1.45536,1.55395,0.000179179,0.000179179,0.000179179
56,1833.98,0.93565,0.92807,1.22691,0.52289,0.48715,0.47506,0.33121,1.32663,1.53888,1.53439,0.000175367,0.000175367,0.000175367
57,1867.35,0.93077,0.92297,1.22432,0.59064,0.48327,0.49239,0.35141,1.32227,1.43803,1.51572,0.000171556,0.000171556,0.000171556
58,1899.94,0.9366,0.91651,1.22453,0.61962,0.46756,0.49135,0.34515,1.37824,1.48649,1.55528,0.000167745,0.000167745,0.000167745
59,1932.94,0.92434,0.90399,1.21123,0.59356,0.4939,0.50939,0.35977,1.34047,1.4467,1.53685,0.000163933,0.000163933,0.000163933
60,1966.55,0.91815,0.90847,1.21774,0.54227,0.52301,0.51029,0.35697,1.3451,1.48626,1.52332,0.000160122,0.000160122,0.000160122
61,2000.5,0.9139,0.88772,1.20912,0.58996,0.48051,0.47906,0.34484,1.35299,1.447,1.54513,0.00015631,0.00015631,0.00015631
62,2034.05,0.90535,0.88785,1.20668,0.59356,0.47815,0.49756,0.35742,1.35575,1.47897,1.56763,0.000152498,0.000152498,0.000152498
63,2067.7,0.90659,0.87574,1.20444,0.63665,0.51374,0.52079,0.36904,1.36008,1.48137,1.55259,0.000148687,0.000148687,0.000148687
64,2101.27,0.89583,0.87473,1.2038,0.68987,0.47014,0.50576,0.35846,1.36509,1.44906,1.55923,0.000144875,0.000144875,0.000144875
65,2134.86,0.88512,0.84925,1.18547,0.57549,0.48748,0.4916,0.35377,1.37028,1.45318,1.54677,0.000141064,0.000141064,0.000141064
66,2167.56,0.90233,0.87692,1.20127,0.68089,0.47259,0.49901,0.35736,1.37122,1.45117,1.55893,0.000137252,0.000137252,0.000137252
67,2201.24,0.88346,0.86112,1.20003,0.74313,0.44216,0.50034,0.36195,1.36573,1.43766,1.59789,0.000133441,0.000133441,0.000133441
68,2234.92,0.88133,0.85239,1.19128,0.59507,0.49992,0.49968,0.35714,1.38233,1.42089,1.59567,0.000129629,0.000129629,0.000129629
69,2267.28,0.87346,0.83744,1.18261,0.5301,0.48659,0.49508,0.34389,1.36054,1.39989,1.57815,0.000125818,0.000125818,0.000125818
70,2300.58,0.87052,0.82973,1.1791,0.64338,0.4534,0.48565,0.34027,1.33051,1.44377,1.5513,0.000122007,0.000122007,0.000122007
71,2334.67,0.8647,0.82472,1.1763,0.56905,0.48627,0.4889,0.35101,1.34719,1.48685,1.5669,0.000118195,0.000118195,0.000118195
72,2368.69,0.86305,0.83851,1.18079,0.60879,0.47919,0.48459,0.33488,1.35159,1.46866,1.55751,0.000114384,0.000114384,0.000114384
73,2402.31,0.85991,0.82608,1.1852,0.62805,0.46577,0.48255,0.33217,1.33177,1.41657,1.54028,0.000110572,0.000110572,0.000110572
74,2436,0.85712,0.81386,1.17551,0.5663,0.48627,0.50248,0.35427,1.35683,1.40914,1.57319,0.000106761,0.000106761,0.000106761
75,2468.84,0.83763,0.79767,1.16141,0.70786,0.45873,0.4899,0.36167,1.35561,1.41857,1.56977,0.000102949,0.000102949,0.000102949
76,2500.21,0.85892,0.80115,1.17035,0.6016,0.45508,0.47111,0.33837,1.35527,1.48777,1.55621,9.91375e-05,9.91375e-05,9.91375e-05
77,2532.67,0.84059,0.79629,1.16584,0.60073,0.48994,0.48855,0.35341,1.34593,1.46046,1.55889,9.5326e-05,9.5326e-05,9.5326e-05
78,2563.97,0.84211,0.79588,1.15988,0.64421,0.46195,0.49067,0.35119,1.35735,1.45493,1.55341,9.15145e-05,9.15145e-05,9.15145e-05
79,2595.15,0.83841,0.798,1.16762,0.56434,0.48487,0.49722,0.3588,1.33864,1.44629,1.5484,8.7703e-05,8.7703e-05,8.7703e-05
80,2627.81,0.82375,0.77496,1.15995,0.66288,0.46975,0.49573,0.36482,1.34022,1.44231,1.55049,8.38915e-05,8.38915e-05,8.38915e-05
81,2661.77,0.82114,0.77971,1.15374,0.58188,0.49469,0.50948,0.3696,1.32908,1.42005,1.55282,8.008e-05,8.008e-05,8.008e-05
82,2695.62,0.82803,0.7879,1.16224,0.62285,0.48046,0.49598,0.3568,1.32344,1.39982,1.55757,7.62685e-05,7.62685e-05,7.62685e-05
83,2728.94,0.82058,0.77403,1.15808,0.57503,0.49183,0.50019,0.35307,1.35691,1.40744,1.57667,7.2457e-05,7.2457e-05,7.2457e-05
84,2760.67,0.82443,0.77871,1.15794,0.53524,0.48794,0.49403,0.35847,1.35006,1.43337,1.57246,6.86455e-05,6.86455e-05,6.86455e-05
85,2793.6,0.81378,0.7654,1.14864,0.57428,0.48425,0.50774,0.36361,1.35159,1.4398,1.57664,6.4834e-05,6.4834e-05,6.4834e-05
86,2827.42,0.81518,0.76021,1.14885,0.60259,0.47272,0.49378,0.35269,1.35457,1.44995,1.5771,6.10225e-05,6.10225e-05,6.10225e-05
87,2860.97,0.8075,0.75324,1.1471,0.56193,0.50437,0.50192,0.36336,1.33023,1.44352,1.55136,5.7211e-05,5.7211e-05,5.7211e-05
88,2893.55,0.79515,0.7401,1.13287,0.53079,0.50164,0.49714,0.35642,1.34766,1.42943,1.55417,5.33995e-05,5.33995e-05,5.33995e-05
89,2925.12,0.7917,0.7487,1.13653,0.56005,0.52751,0.50798,0.36817,1.33576,1.41972,1.54418,4.9588e-05,4.9588e-05,4.9588e-05
90,2956.75,0.80211,0.75518,1.14309,0.61374,0.48995,0.505,0.36074,1.33547,1.41699,1.55784,4.57765e-05,4.57765e-05,4.57765e-05
91,3005.83,0.76402,0.68183,1.14761,0.53946,0.49521,0.48283,0.34543,1.34622,1.44864,1.57901,4.1965e-05,4.1965e-05,4.1965e-05
92,3037.77,0.73628,0.63732,1.12413,0.58082,0.49258,0.48636,0.35295,1.34088,1.41673,1.57648,3.81535e-05,3.81535e-05,3.81535e-05
93,3069.62,0.72368,0.63518,1.11777,0.57948,0.48522,0.48516,0.35421,1.36167,1.43144,1.5838,3.4342e-05,3.4342e-05,3.4342e-05
94,3100.54,0.71389,0.61859,1.10825,0.58604,0.48493,0.49442,0.35748,1.35752,1.43261,1.59109,3.05305e-05,3.05305e-05,3.05305e-05
95,3133.01,0.71052,0.61649,1.11609,0.57579,0.49447,0.49388,0.35797,1.35226,1.43012,1.58166,2.6719e-05,2.6719e-05,2.6719e-05
96,3165.2,0.6969,0.59891,1.09691,0.58785,0.48171,0.49268,0.35525,1.35855,1.43575,1.58832,2.29075e-05,2.29075e-05,2.29075e-05
97,3196.28,0.69443,0.59608,1.09007,0.61222,0.48,0.49267,0.3535,1.34105,1.41757,1.57614,1.9096e-05,1.9096e-05,1.9096e-05
98,3227.3,0.6813,0.59139,1.0905,0.62234,0.47575,0.49143,0.35649,1.34025,1.42695,1.58122,1.52845e-05,1.52845e-05,1.52845e-05
99,3258.36,0.69548,0.5942,1.09596,0.63167,0.47544,0.48822,0.35023,1.33939,1.41882,1.57803,1.1473e-05,1.1473e-05,1.1473e-05
100,3290.24,0.68973,0.59761,1.10225,0.62795,0.47814,0.49151,0.3569,1.33881,1.40723,1.58322,7.6615e-06,7.6615e-06,7.6615e-06
